,Title,ID,Vote_Avg,Vote_Count,Popularity,release_year,Director,Gender,Revenue,Budget
0,Jurassic World: Fallen Kingdom,351286,6.6,2043,237.876,2018,Juan Antonio Bayona,male,711501000,170000000
1,Ant-Man and the Wasp,363088,7.1,698,174.225,2018,Peyton Reed,,303930000,140000000
2,Avengers: Infinity War,299536,8.4,5815,165.192,2018,Joe Russo,male,2021970014,300000000
3,Thor: Ragnarok,284053,7.5,7396,156.049,2017,Taika Waititi,,853977126,180000000
4,Mission: Impossible - Fallout,353081,5.2,42,139.801,2018,Christopher McQuarrie,male,0,0
5,Incredibles 2,260513,7.7,1274,129.972,2018,Brad Bird,male,868429911,200000000
6,The First Purge,442249,6.2,310,126.592,2018,Gerard McMurray,male,41953945,13000000
7,Ready Player One,333339,7.7,3056,112.149,2018,Steven Spielberg,male,581961758,175000000
8,Hotel Transylvania 2,159824,6.7,2152,109.652,2015,Genndy Tartakovsky,,473226958,80000000
9,The Purge,158015,6.1,3535,109.626,2013,James DeMonaco,male,89328627,3000000
10,The Purge: Anarchy,238636,6.6,2841,109.459,2014,James DeMonaco,male,108782847,9000000
11,Mission: Impossible - Rogue Nation,177677,7.1,4147,97.57,2015,Christopher McQuarrie,male,682330139,150000000
12,Fifty Shades Freed,337167,6.0,2325,96.228,2018,James Foley,male,368307760,55000000
13,Mission: Impossible,954,6.8,3599,93.278,1996,Brian De Palma,male,457696359,80000000
14,Rampage,427641,6.1,1363,92.784,2018,Brad Peyton,male,424545471,120000000
15,Ant-Man,102899,7.0,8578,86.383,2015,Peyton Reed,,519311965,130000000
16,Black Panther,284054,7.3,6912,81.649,2018,Ryan Coogler,male,1346499580,200000000
17,Qayamat: City Under Threat,318484,5.5,13,77.697,2003,,,0,0
18,A Quiet Place,447332,7.2,2270,76.057,2018,John Krasinski,male,328260889,17000000
19,Deadpool 2,383498,7.6,3107,75.963,2018,David Leitch,male,692129923,110000000
20,The Purge: Election Year,316727,6.2,2104,70.588,2016,James DeMonaco,male,118587880,10000000
