,Title,ID,Vote_Avg,Vote_Count,Popularity,release_year,Director,Gender,Revenue,Budget
0,Mythica: A Quest for Heroes,321068,5.9,74,11.397,2014,Anne K. Black,female,0,0
1,Spaceballs,957,6.8,1229,11.394,1987,Mel Brooks,female,38119483,22700000
2,Edge of Darkness,12201,6.3,654,11.392,2010,Martin Campbell,male,74901339,80000000
3,Some: An Erotic Tale,481994,0.0,0,11.392,2017,Song Jeong-gyoo,male,0,0
4,The Reader,8055,7.3,1192,11.391,2008,Stephen Daldry,male,113019290,32000000
5,The Santa Clause,11395,6.3,720,11.391,1994,John Pasquin,male,0,10000000
6,Victoria & Abdul,423899,6.8,391,11.39,2017,Stephen Frears,male,65421267,0
7,The Killer,10835,7.8,251,11.383,1989,John Woo,male,0,0
8,Planet Terror,1992,6.6,1461,11.38,2007,Robert Rodriguez,male,0,0
9,The Longest Ride,228205,7.4,1482,11.38,2015,"George Tillman, Jr.",male,63013281,34000000
10,Marauders,359412,5.8,217,11.374,2016,Steven C. Miller,male,0,15000000
11,The Punisher,7220,6.1,1087,11.373,2004,Jonathan Hensleigh,male,54700105,33000000
12,Men of Honor,11978,7.1,761,11.372,2000,"George Tillman, Jr.",male,48814909,82343495
13,The Talented Mr. Ripley,1213,7.1,1081,11.367,1999,Anthony Minghella,male,128798265,40000000
14,The Tree of Life,8967,6.6,1379,11.364,2011,Terrence Malick,male,54674226,32000000
15,Ladyhawke,526,7.0,409,11.364,1985,Richard Donner,male,18432000,20000000
16,The Outlaw Josey Wales,10747,7.5,401,11.364,1976,Clint Eastwood,male,31800000,3700000
17,Unlocked,291276,6.2,365,11.364,2017,Michael Apted,male,0,0
18,The Time Machine,2135,5.9,866,11.363,2002,Simon Wells,male,123729176,80000000
19,Open Season: Scared Silly,382517,5.4,95,11.362,2016,David Feiss,male,0,0
20,F*&% the Prom,487702,5.6,91,11.362,2017,Benny Fine,male,0,0
21,iBoy,414190,6.1,525,11.359,2017,Adam Randall,male,0,1500000
22,The Firm,37233,6.7,688,11.358,1993,Sydney Pollack,female,270248367,42000000
