,Title,ID,Vote_Avg,Vote_Count,Popularity,release_year,Director,Gender,Revenue,Budget
206,KL Special Force,509850,1.0,1,12.291,2018,Syafiq Yusof,male,0,1000000
207,Con Air,1701,6.6,1694,12.289,1997,Simon West,male,224012234,75000000
208,My Life in Ruins,23049,5.8,164,12.285,2009,Donald Petrie,male,20455276,17000000
209,Noah,86834,5.5,3176,12.285,2014,Darren Aronofsky,male,362637473,125000000
210,Poltergeist,609,7.1,1063,12.276,1982,Tobe Hooper,male,122200000,10700000
211,Sahara,423453,5.5,106,12.258,2017,Pierre Coré,male,7800000,0
212,Ace Ventura: When Nature Calls,9273,6.2,1651,12.256,1995,Steve Oedekerk,male,212385533,30000000
213,The Chronicles of Narnia: The Voyage of the Dawn Treader,10140,6.2,2343,12.248,2010,Michael Apted,male,415686217,155000000
214,The Secret Life of Walter Mitty,116745,7.1,4071,12.246,2013,Ben Stiller,male,188133322,90000000
215,The Orphanage,6537,7.2,947,12.228,2007,Juan Antonio Bayona,male,44000000,0
216,Swordfish,9705,6.1,1216,12.221,2001,Dominic Sena,male,147080413,102000000
217,The 12th Man,435577,7.8,32,12.213,2017,Harald Zwart,male,0,7806306
218,Transcendence,157353,5.9,2935,12.213,2014,Wally Pfister,male,103039258,100000000
219,DragonHeart,8840,6.5,792,12.212,1996,Rob Cohen,male,115267375,57000000
220,Chef,212778,7.1,1489,12.204,2014,Jon Favreau,male,45967935,11000000
221,The Hitchhiker's Guide to the Galaxy,7453,6.7,1851,12.202,2005,Garth Jennings,male,104478416,50000000
222,Equilibrium,7299,7.0,2022,12.2,2002,Kurt Wimmer,male,5359645,20000000
223,A Silent Voice,378064,8.3,520,12.199,2016,Naoko Yamada,female,310407,0
224,Return of the Jedi,1892,8.0,6564,12.188,1983,Richard Marquand,male,572700000,32350000
225,Step Sisters,431072,6.4,170,12.188,2018,Charles Stone III,male,0,10000000
226,Homefront,204082,6.4,1146,12.186,2013,Gary Fleder,male,43058898,22000000
227,After Earth,82700,5.1,3329,12.185,2013,M. Night Shyamalan,,243843127,130000000
228,Pitch Perfect,114150,7.3,3282,12.184,2012,Jason Moore,male,115350426,17000000
229,Piranha 3D,43593,5.3,800,12.174,2010,Alexandre Aja,male,83188165,24000000
230,Cargo,425972,6.4,349,12.169,2017,Ben Howling,male,0,0
231,King Kong,254,6.7,3358,12.165,2005,Peter Jackson,male,550517357,207000000
232,It's a Wonderful Life,1585,8.1,1538,12.163,1946,Frank Capra,male,9644124,3180000
233,Starship Troopers,563,6.8,2027,12.157,1997,Paul Verhoeven,male,121214377,105000000
234,Monster Hunt,334298,5.8,106,12.154,2015,Raman Hui,male,0,0
235,Justice League: The Flashpoint Paradox,183011,7.4,599,12.152,2013,Jay Oliva,male,0,3500000
236,Scary Movie 4,4257,5.3,1167,12.144,2006,David Zucker,male,178262620,45000000
237,Basic Instinct,402,6.6,1227,12.139,1992,Paul Verhoeven,male,352927224,49000000
238,Conan the Barbarian,9387,6.7,899,12.134,1982,John Milius,male,79114085,20000000
239,Criminal,302156,5.9,748,12.127,2016,Ariel Vromen,male,14708696,31500000
240,Jaws 2,579,6.0,592,12.121,1978,Jeannot Szwarc,male,187884007,20000000
241,Tremors,9362,6.6,1266,12.116,1990,Ron Underwood,male,48572000,11000000
242,The Girl Who Leapt Through Time,14069,7.8,639,12.115,2006,Mamoru Hosoda,,3800000,0
243,Spaceballs,957,6.8,1228,12.112,1987,Mel Brooks,female,38119483,22700000
244,Appaloosa,12690,6.5,395,12.106,2008,Ed Harris,male,20211394,20000000
245,Step Up,9762,6.8,1655,12.105,2006,Anne Fletcher,female,114194847,12000000
246,Maggie,287424,5.2,796,12.091,2015,Henry Hobson,male,187112,4000000
247,Spy Kids 2: The Island of Lost Dreams,9488,5.4,797,12.086,2002,Robert Rodriguez,male,119723358,38000000
248,Elysium,68724,6.4,4476,12.084,2013,Neill Blomkamp,male,286140700,115000000
249,13 Going on 30,10096,6.4,1890,12.078,2004,Gary Winick,male,96455697,37000000
250,Hitman,1620,5.9,1261,12.071,2007,Xavier Gens,male,99965753,24000000
251,Desierto,258363,5.9,149,12.07,2015,Jonás Cuarón,,0,0
252,Brawl in Cell Block 99,398175,6.8,302,12.069,2017,S. Craig Zahler,female,0,10000000
253,Species,9348,5.7,583,12.067,1995,Roger Donaldson,male,113374103,35000000
254,Dragon Ball Z: Wrath of the Dragon,39108,6.7,173,12.064,1995,Mitsuo Hashimoto,male,0,0
255,Poltergeist,243688,5.1,1178,12.064,2015,Gil Kenan,male,95437994,35000000
256,Platoon,792,7.6,1678,12.052,1986,Oliver Stone,male,138530565,6000000
257,Finding Neverland,866,7.3,1795,12.052,2004,Marc Forster,male,116766556,25000000
258,The Theory of Everything,266856,7.9,4881,12.048,2014,James Marsh,male,123726688,15000000
259,Kidnap,293768,6.0,618,12.046,2017,Luis Prieto,male,30718107,21000000
260,27 Dresses,6557,6.2,1477,12.039,2008,Anne Fletcher,female,160259319,30000000
261,Dogtooth,38810,7.1,523,12.037,2009,Yorgos Lanthimos,male,110197,0
262,Craving Desire,110143,4.8,9,12.032,1993,Sergio Martino,male,0,0
263,Les Misérables,82695,7.3,2576,12.03,2012,Tom Hooper,male,441809770,61000000
264,47 Ronin,64686,6.0,1687,12.026,2013,Carl Rinsch,male,150962475,175000000
265,Castle in the Sky,10515,7.9,1233,12.023,1986,Hayao Miyazaki,,0,0
266,Cliffhanger,9350,6.3,813,12.023,1993,Renny Harlin,male,255000211,70000000
267,Enemy,181886,6.8,2030,12.022,2013,Denis Villeneuve,male,3396726,0
268,Christopher Robin,420814,0.0,1,12.018,2018,Marc Forster,male,0,0
269,Dogville,553,7.8,906,12.017,2003,Lars von Trier,male,16680836,10000000
270,Sniper,9545,6.0,132,12.015,1993,Luis Llosa,male,18994653,0
271,8 Mile,65,6.9,2442,12.012,2002,Curtis Hanson,male,242875078,41000000
272,Moonrise Kingdom,83666,7.7,2345,12.012,2012,Wes Anderson,male,68263166,16000000
273,Anaconda,9360,4.8,885,12.007,1997,Luis Llosa,male,136,45
274,About Time,122906,7.8,2984,12.003,2013,Richard Curtis,male,87100449,12000000
275,Backstabbing for Beginners,476678,6.5,19,11.999,2018,Per Fly,male,0,0
276,Sharknado 5: Global Swarming,438970,4.6,86,11.991,2017,Anthony C. Ferrante,male,0,3000000
277,Inside Llewyn Davis,86829,7.2,1104,11.99,2013,Joel Coen,male,32935319,11000000
278,Palm Swings,462181,6.5,5,11.99,2017,Sean Hoessli,male,0,0
279,Face/Off,754,6.9,2092,11.985,1997,John Woo,male,245676146,80000000
280,Wrong Turn 6: Last Resort,259072,4.7,242,11.984,2014,Valeri Milev,male,0,1200000
281,Dirty Harry,984,7.5,847,11.982,1971,Don Siegel,male,35976000,10000000
282,Tracers,290764,5.9,555,11.982,2015,Daniel Benmayor,male,593683,11000000
283,The Princess Bride,2493,7.6,1881,11.981,1987,Rob Reiner,male,30857814,16000000
284,There's Something About Mary,544,6.5,2236,11.98,1998,Bobby Farrelly,male,369884651,23000000
285,Serenity,16320,7.5,1630,11.979,2005,Joss Whedon,male,38869464,39000000
286,Rango,44896,6.6,2718,11.978,2011,Gore Verbinski,male,0,10000000
287,Boruto: Naruto the Movie,347201,7.7,235,11.976,2015,Hiroyuki Yamashita,male,0,0
288,From Dusk Till Dawn,755,6.9,2313,11.971,1996,Robert Rodriguez,male,25836616,19000000
289,Hellboy II: The Golden Army,11253,6.6,2150,11.968,2008,Guillermo del Toro,male,160388063,85000000
290,5 Centimeters per Second,38142,7.3,630,11.958,2007,Makoto Shinkai,male,0,5000000
291,The Boy in the Striped Pyjamas,14574,7.8,2460,11.945,2008,Mark Herman,male,20416563,12500000
292,The Fox and the Hound,10948,7.0,1260,11.945,1981,Ted Berman,male,29800000,12000000
293,Manchester by the Sea,334541,7.5,2376,11.944,2016,Kenneth Lonergan,male,75026965,9000000
294,Lemony Snicket's A Series of Unfortunate Events,11774,6.7,2275,11.937,2004,Brad Silberling,male,209073645,140000000
295,Mulholland Drive,1018,7.8,2227,11.936,2001,David Lynch,male,20117339,15000000
296,Knock,438348,6.3,121,11.936,2017,Lorraine Lévy,female,0,0
297,Apocalypse Now,28,8.2,2991,11.935,1979,Francis Ford Coppola,male,89460381,31500000
298,"Crouching Tiger, Hidden Dragon",146,7.3,1272,11.921,2000,Ang Lee,female,213525736,17000000
299,Lethal Weapon 4,944,6.4,1030,11.918,1998,Richard Donner,male,285444603,140000000
300,Twister,664,6.2,1281,11.917,1996,Jan de Bont,male,494471524,92000000
301,Mayhem,429733,6.6,140,11.916,2017,Joe Lynch,male,0,0
302,Christmas Inheritance,449755,6.2,191,11.914,2017,Ernie Barbarash,male,0,10000000
303,Constantine,561,6.7,2495,11.906,2005,Francis Lawrence,male,230884728,100000000
304,Deep Blue Sea 2,492336,4.5,101,11.901,2018,Darin Scott,male,0,0
305,The Color Purple,873,7.8,529,11.9,1985,Steven Spielberg,male,146292009,15000000
306,Addams Family Values,2758,6.6,849,11.899,1993,Barry Sonnenfeld,male,0,10000000
307,Lolita,9769,7.1,438,11.895,1997,Adrian Lyne,male,1060056,62000000
308,The Fox and the Hound 2,9948,5.6,185,11.885,2006,Jim Kammerud,male,0,24000000
309,Orbiter 9,437311,5.6,87,11.885,2017,Hatem Khraiche,male,0,0
310,Beowulf,2310,5.6,1171,11.879,2007,Robert Zemeckis,male,195735876,70000000
